Group,TeamA,TeamB,When,Score,KAW,JHW,REW,JEW
PL,Manchester United,Leicester City,10/08/2018,02:01,02:01,02:01,01:02,02:00
PL,Fulham,Crystal Palace,11/08/2018,00:02,02:01,01:00,02:01,01:00
PL,Huddersfield Town,Chelsea,11/08/2018,00:03,00:02,00:01,01:01,01:01
PL,Arsenal,Manchester City,12/08/2018,00:03,01:03,01:02,01:02,01:02
PL,Liverpool,West Ham United,12/08/2018,04:00,04:01,02:01,01:02,02:00
PL,Chelsea,Arsenal,18/08/2018,03:02,02:01,01:01,02:01,01:01
PL,Tottenham Hotspur,Fulham,18/08/2018,03:01,03:00,03:01,02:01,02:00
PL,Brighton & Hove Albion,Manchester United,19/08/2018,03:02,00:01,01:03,01:01,00:01
PL,Manchester City,Huddersfield Town,19/08/2018,06:01,03:00,04:00,02:01,05:00
PL,Crystal Palace,Liverpool,20/08/2018,00:02,01:02,01:03,01:03,00:01
PL,Liverpool,Brighton & Hove Albion,25/08/2018,01:00,03:00,04:00,02:01,03:00
PL,Wolverhampton Wanderers,Manchester City,25/08/2018,01:01,00:03,00:04,01:02,00:02
PL,Fulham,Burnley,26/08/2018,04:02,01:03,01:01,01:01,01:00
PL,Newcastle United,Chelsea,26/08/2018,01:02,01:02,01:03,01:02,02:01
PL,Manchester United,Tottenham Hotspur,27/08/2018,00:03,01:01,02:01,01:01,01:00
PL,Brighton & Hove Albion,Fulham,01/09/2018,02:02,02:01,00:01,01:02,02:00
PL,Chelsea,AFC Bournemouth,01/09/2018,02:00,03:00,03:01,02:01,02:00
PL,Leicester City,Liverpool,01/09/2018,01:02,01:03,00:03,01:03,01:03
PL,Manchester City,Newcastle United,01/09/2018,02:01,02:01,03:00,02:01,03:01
PL,Burnley,Manchester United,02/09/2018,00:02,01:02,01:01,01:01,00:01
PL,Chelsea,Cardiff City,15/09/2018,04:01,02:00,02:01,02:01,02:01
PL,Manchester City,Fulham,15/09/2018,03:00,04:00,03:00,02:01,05:00
PL,Tottenham Hotspur,Liverpool,15/09/2018,01:02,01:02,01:03,01:01,01:02
PL,Watford,Manchester United,15/09/2018,01:02,01:02,00:01,00:01,00:02
PL,Cardiff City,Manchester City,22/09/2018,00:05,01:04,01:03,01:02,00:03
PL,Fulham,Watford,22/09/2018,01:01,01:02,01:02,01:01,02:00
PL,Liverpool,Southampton,22/09/2018,03:00,03:00,03:00,02:01,02:00
PL,Manchester United,Wolverhampton Wanderers,22/09/2018,01:01,02:00,02:01,01:01,01:00
PL,West Ham United,Chelsea,23/09/2018,00:00,02:02,00:02,00:02,01:02
PL,Chelsea,Liverpool,29/09/2018,01:01,01:01,00:02,01:02,01:02
PL,Everton,Fulham,29/09/2018,03:00,00:00,01:00,01:01,02:00
PL,Manchester City,Brighton & Hove Albion,29/09/2018,02:00,04:00,03:01,02:01,05:00
PL,West Ham United,Manchester United,29/09/2018,03:01,01:01,01:02,02:02,00:01
PL,Manchester United,Newcastle United,06/10/2018,03:02,02:00,01:01,01:02,02:00
PL,Fulham,Arsenal,07/10/2018,01:05,00:03,00:01,01:02,00:01
PL,Liverpool,Manchester City,07/10/2018,00:00,02:01,01:01,02:02,02:03
PL,Southampton,Chelsea,07/10/2018,00:03,00:03,01:02,01:02,00:02
PL,Cardiff City,Fulham,20/10/2018,04:02,01:02,01:01,02:02,01:01
PL,Chelsea,Manchester United,20/10/2018,02:02,02:00,03:01,02:01,01:00
PL,Huddersfield Town,Liverpool,20/10/2018,00:01,00:03,00:03,01:02,00:02
PL,Manchester City,Burnley,20/10/2018,05:00,03:00,03:00,02:01,04:00
PL,Fulham,AFC Bournemouth,27/10/2018,00:03,01:03,01:01,02:02,00:01
PL,Liverpool,Cardiff City,27/10/2018,04:01,03:00,04:00,02:01,03:00
PL,Burnley,Chelsea,28/10/2018,00:04,01:03,01:02,00:02,00:02
PL,Manchester United,Everton,28/10/2018,02:01,01:01,02:01,01:01,01:01
PL,Tottenham Hotspur,Manchester City,29/10/2018,00:01,01:03,00:03,02:03,01:02
PL,AFC Bournemouth,Manchester United,03/11/2018,01:02,02:02,00:01,01:01,01:00
PL,Arsenal,Liverpool,03/11/2018,01:01,01:01,01:02,01:02,00:01
PL,Chelsea,Crystal Palace,04/11/2018,03:01,03:00,03:01,02:01,02:00
PL,Manchester City,Southampton,04/11/2018,06:01,04:00,02:00,01:00,04:00
PL,Huddersfield Town,Fulham,05/11/2018,01:00,01:01,01:01,00:00,01:01
PL,Chelsea,Everton,11/11/2018,00:00,03:01,01:00,02:01,02:00
PL,Liverpool,Fulham,11/11/2018,02:00,04:00,02:00,03:01,03:00
PL,Manchester City,Manchester United,11/11/2018,03:01,02:02,03:00,04:01,05:00
PL,Fulham,Southampton,24/11/2018,03:02,01:01,02:01,01:02,01:01
PL,Manchester United,Crystal Palace,24/11/2018,00:00,02:01,02:01,01:01,03:00
PL,Tottenham Hotspur,Chelsea,24/11/2018,03:01,01:01,01:01,01:02,00:01
PL,Watford,Liverpool,24/11/2018,00:03,00:02,00:03,02:04,00:02
PL,West Ham United,Manchester City,24/11/2018,00:04,01:03,00:03,01:03,00:04
PL,Manchester City,AFC Bournemouth,01/12/2018,03:01,04:00,03:00,03:02,05:00
PL,Southampton,Manchester United,01/12/2018,02:02,01:01,01:02,01:01,00:02
PL,Chelsea,Fulham,02/12/2018,02:00,03:00,02:00,02:01,02:00
PL,Liverpool,Everton,02/12/2018,01:00,02:01,03:01,02:01,02:00
PL,Watford,Manchester City,04/12/2018,01:02,00:03,01:04,01:03,00:02
PL,Burnley,Liverpool,05/12/2018,01:03,01:02,00:03,01:02,00:01
PL,Fulham,Leicester City,05/12/2018,01:01,00:02,01:01,01:01,01:00
PL,Manchester United,Arsenal,05/12/2018,02:02,01:01,01:02,02:02,00:01
PL,Wolverhampton Wanderers,Chelsea,05/12/2018,02:01,00:02,01:03,01:02,00:01
PL,AFC Bournemouth,Liverpool,08/12/2018,00:04,01:02,01:03,02:03,00:02
PL,Chelsea,Manchester City,08/12/2018,02:00,01:02,01:02,01:03,01:02
PL,Manchester United,Fulham,08/12/2018,04:01,01:00,01:01,01:01,02:00
PL,Fulham,West Ham United,15/12/2018,00:02,01:02,02:01,01:01,01:00
PL,Manchester City,Everton,15/12/2018,03:01,03:00,03:01,03:01,02:00
PL,Brighton & Hove Albion,Chelsea,16/12/2018,01:02,01:02,00:03,01:01,00:02
PL,Liverpool,Manchester United,16/12/2018,03:01,01:00,01:00,02:01,02:01
PL,Wolverhampton Wanderers,Liverpool,21/12/2018,00:02,00:02,01:03,01:03,00:03
PL,Cardiff City,Manchester United,22/12/2018,01:05,00:02,00:01,00:01,00:02
PL,Chelsea,Leicester City,22/12/2018,00:01,02:00,02:01,02:01,02:01
PL,Manchester City,Crystal Palace,22/12/2018,02:03,04:00,03:01,03:02,05:00
PL,Newcastle United,Fulham,22/12/2018,00:00,01:00,01:02,01:01,00:00
PL,Fulham,Wolverhampton Wanderers,26/12/2018,01:01,00:02,00:01,00:01,01:00
PL,Leicester City,Manchester City,26/12/2018,02:01,01:02,01:02,02:03,00:02
PL,Liverpool,Newcastle United,26/12/2018,04:00,03:00,04:01,05:01,02:00
PL,Manchester United,Huddersfield Town,26/12/2018,03:01,03:00,05:00,01:01,03:00
PL,Watford,Chelsea,26/12/2018,01:02,01:02,01:02,00:00,01:02
PL,Fulham,Huddersfield Town,29/12/2018,01:00,00:01,00:00,01:02,02:00
PL,Liverpool,Arsenal,29/12/2018,05:01,02:00,03:01,01:01,02:01
PL,Crystal Palace,Chelsea,30/12/2018,01:00,00:01,01:02,01:02,01:03
PL,Manchester United,AFC Bournemouth,30/12/2018,04:01,02:01,04:00,02:02,04:01
PL,Southampton,Manchester City,30/12/2018,01:03,00:02,01:03,01:03,01:03
PL,Arsenal,Fulham,01/01/2019,04:01,02:00,03:00,01:01,02:00
PL,Chelsea,Southampton,02/01/2019,00:00,02:00,04:01,01:02,03:01
PL,Newcastle United,Manchester United,02/01/2019,00:02,00:04,01:05,01:02,01:01
PL,Manchester City,Liverpool,03/01/2019,02:01,01:02,03:02,02:04,04:03
Group,When,Team A,Team B,KAW,JHW,REW,JEW
PL,12/01/2019,West Ham United,Arsenal,,,,
PL,12/01/2019,Brighton & Hove Albion,Liverpool,,,,
PL,12/01/2019,Burnley,Fulham,,,,
PL,12/01/2019,Cardiff City,Huddersfield Town,,,,
PL,12/01/2019,Crystal Palace,Watford,,,,
PL,12/01/2019,Leicester City,Southampton,,,,
PL,12/01/2019,Chelsea,Newcastle United,,,,
PL,13/01/2019,Everton,AFC Bournemouth,,,,
PL,13/01/2019,Tottenham Hotspur,Manchester United,,,,
PL,14/01/2019,Manchester City,Wolverhampton Wanderers,,,,
PL,19/01/2019,Wolverhampton Wanderers,Leicester City,,,,
PL,19/01/2019,AFC Bournemouth,West Ham United,,,,
PL,19/01/2019,Liverpool,Crystal Palace,,,,
PL,19/01/2019,Manchester United,Brighton & Hove Albion,,,,
PL,19/01/2019,Newcastle United,Cardiff City,,,,
PL,19/01/2019,Southampton,Everton,,,,
PL,19/01/2019,Watford,Burnley,,,,
PL,19/01/2019,Arsenal,Chelsea,,,,
PL,20/01/2019,Huddersfield Town,Manchester City,,,,
PL,20/01/2019,Fulham,Tottenham Hotspur,,,,
PL,29/01/2019,AFC Bournemouth,Chelsea,,,,
PL,29/01/2019,Fulham,Brighton & Hove Albion,,,,
PL,29/01/2019,Huddersfield Town,Everton,,,,
PL,29/01/2019,Wolverhampton Wanderers,West Ham United,,,,
PL,29/01/2019,Manchester United,Burnley,,,,
PL,29/01/2019,Newcastle United,Manchester City,,,,
PL,30/01/2019,Southampton,Crystal Palace,,,,
PL,30/01/2019,Liverpool,Leicester City,,,,
PL,30/01/2019,Tottenham Hotspur,Watford,,,,
PL,02/02/2019,Tottenham Hotspur,Newcastle United,,,,
PL,02/02/2019,Brighton & Hove Albion,Watford,,,,
PL,02/02/2019,Burnley,Southampton,,,,
PL,02/02/2019,Chelsea,Huddersfield Town,,,,
PL,02/02/2019,Crystal Palace,Fulham,,,,
PL,02/02/2019,Everton,Wolverhampton Wanderers,,,,
PL,03/02/2019,Leicester City,Manchester United,,,,
PL,03/02/2019,Manchester City,Arsenal,,,,
PL,04/02/2019,West Ham United,Liverpool,,,,
PL,09/02/2019,Fulham,Manchester United,,,,
PL,09/02/2019,Crystal Palace,West Ham United,,,,
PL,09/02/2019,Huddersfield Town,Arsenal,,,,
PL,09/02/2019,Liverpool,AFC Bournemouth,,,,
PL,09/02/2019,Southampton,Cardiff City,,,,
PL,09/02/2019,Watford,Everton,,,,
PL,10/02/2019,Tottenham Hotspur,Leicester City,,,,
PL,10/02/2019,Manchester City,Chelsea,,,,
PL,11/02/2019,Wolverhampton Wanderers,Newcastle United,,,,
PL,22/02/2019,Cardiff City,Watford,,,,
PL,22/02/2019,West Ham United,Fulham,,,,
PL,23/02/2019,Burnley,Tottenham Hotspur,,,,
PL,23/02/2019,AFC Bournemouth,Wolverhampton Wanderers,,,,
PL,23/02/2019,Leicester City,Crystal Palace,,,,
PL,23/02/2019,Newcastle United,Huddersfield Town,,,,
PL,23/02/2019,Everton,Manchester City,,,,
PL,24/02/2019,Chelsea,Brighton & Hove Albion,,,,
PL,24/02/2019,Arsenal,Southampton,,,,
PL,24/02/2019,Manchester United,Liverpool,,,,
PL,26/02/2019,Cardiff City,Everton,,,,
PL,26/02/2019,Huddersfield Town,Wolverhampton Wanderers,,,,
PL,26/02/2019,Leicester City,Brighton & Hove Albion,,,,
PL,26/02/2019,Manchester City,West Ham United,,,,
PL,27/02/2019,Newcastle United,Burnley,,,,
PL,27/02/2019,Southampton,Fulham,,,,
PL,27/02/2019,Chelsea,Tottenham Hotspur,,,,
PL,27/02/2019,Crystal Palace,Manchester United,,,,
PL,27/02/2019,Liverpool,Watford,,,,
PL,02/03/2019,AFC Bournemouth,Manchester City,,,,
PL,02/03/2019,Brighton & Hove Albion,Huddersfield Town,,,,
PL,02/03/2019,Burnley,Crystal Palace,,,,
PL,02/03/2019,Everton,Liverpool,,,,
PL,02/03/2019,Fulham,Chelsea,,,,
PL,02/03/2019,Manchester United,Southampton,,,,
PL,02/03/2019,Tottenham Hotspur,Arsenal,,,,
PL,02/03/2019,Watford,Leicester City,,,,
PL,02/03/2019,West Ham United,Newcastle United,,,,
PL,02/03/2019,Wolverhampton Wanderers,Cardiff City,,,,
PL,09/03/2019,Arsenal,Manchester United,,,,
PL,09/03/2019,Cardiff City,West Ham United,,,,
PL,09/03/2019,Chelsea,Wolverhampton Wanderers,,,,
PL,09/03/2019,Crystal Palace,Brighton & Hove Albion,,,,
PL,09/03/2019,Huddersfield Town,AFC Bournemouth,,,,
PL,09/03/2019,Leicester City,Fulham,,,,
PL,09/03/2019,Liverpool,Burnley,,,,
PL,09/03/2019,Manchester City,Watford,,,,
PL,09/03/2019,Newcastle United,Everton,,,,
PL,09/03/2019,Southampton,Tottenham Hotspur,,,,
PL,16/03/2019,AFC Bournemouth,Newcastle United,,,,
PL,16/03/2019,Burnley,Leicester City,,,,
PL,16/03/2019,Everton,Chelsea,,,,
PL,16/03/2019,Fulham,Liverpool,,,,
PL,16/03/2019,Manchester United,Manchester City,,,,
PL,16/03/2019,Tottenham Hotspur,Crystal Palace,,,,
PL,16/03/2019,Watford,Southampton,,,,
PL,16/03/2019,West Ham United,Huddersfield Town,,,,
PL,16/03/2019,Wolverhampton Wanderers,Arsenal,,,,
PL,30/03/2019,Arsenal,Newcastle United,,,,
PL,30/03/2019,Brighton & Hove Albion,Southampton,,,,
PL,30/03/2019,Burnley,Wolverhampton Wanderers,,,,
PL,30/03/2019,Cardiff City,Chelsea,,,,
PL,30/03/2019,Crystal Palace,Huddersfield Town,,,,
PL,30/03/2019,Fulham,Manchester City,,,,
PL,30/03/2019,Leicester City,AFC Bournemouth,,,,
PL,30/03/2019,Liverpool,Tottenham Hotspur,,,,
PL,30/03/2019,Manchester United,Watford,,,,
PL,30/03/2019,West Ham United,Everton,,,,
PL,06/04/2019,Chelsea,West Ham United,,,,
PL,06/04/2019,Everton,Arsenal,,,,
PL,06/04/2019,Huddersfield Town,Leicester City,,,,
PL,06/04/2019,Manchester City,Cardiff City,,,,
PL,06/04/2019,Newcastle United,Crystal Palace,,,,
PL,06/04/2019,Southampton,Liverpool,,,,
PL,06/04/2019,Tottenham Hotspur,Brighton & Hove Albion,,,,
PL,06/04/2019,Watford,Fulham,,,,
PL,06/04/2019,Wolverhampton Wanderers,Manchester United,,,,
PL,13/04/2019,Crystal Palace,Manchester City,,,,
PL,13/04/2019,Fulham,Everton,,,,
PL,13/04/2019,Leicester City,Newcastle United,,,,
PL,13/04/2019,Liverpool,Chelsea,,,,
PL,13/04/2019,Manchester United,West Ham United,,,,
PL,13/04/2019,Southampton,Wolverhampton Wanderers,,,,
PL,13/04/2019,Tottenham Hotspur,Huddersfield Town,,,,
PL,13/04/2019,Watford,Arsenal,,,,
PL,20/04/2019,Arsenal,Crystal Palace,,,,
PL,20/04/2019,AFC Bournemouth,Fulham,,,,
PL,20/04/2019,Cardiff City,Liverpool,,,,
PL,20/04/2019,Chelsea,Burnley,,,,
PL,20/04/2019,Everton,Manchester United,,,,
PL,20/04/2019,Huddersfield Town,Watford,,,,
PL,20/04/2019,Manchester City,Tottenham Hotspur,,,,
PL,20/04/2019,Newcastle United,Southampton,,,,
PL,20/04/2019,West Ham United,Leicester City,,,,
PL,20/04/2019,Wolverhampton Wanderers,Brighton & Hove Albion,,,,
PL,27/04/2019,Brighton & Hove Albion,Newcastle United,,,,
PL,27/04/2019,Burnley,Manchester City,,,,
PL,27/04/2019,Crystal Palace,Everton,,,,
PL,27/04/2019,Fulham,Cardiff City,,,,
PL,27/04/2019,Leicester City,Arsenal,,,,
PL,27/04/2019,Liverpool,Huddersfield Town,,,,
PL,27/04/2019,Manchester United,Chelsea,,,,
PL,27/04/2019,Southampton,AFC Bournemouth,,,,
PL,27/04/2019,Tottenham Hotspur,West Ham United,,,,
PL,27/04/2019,Watford,Wolverhampton Wanderers,,,,
PL,04/05/2019,AFC Bournemouth,Tottenham Hotspur,,,,
PL,04/05/2019,Cardiff City,Crystal Palace,,,,
PL,04/05/2019,Chelsea,Watford,,,,
PL,04/05/2019,Everton,Burnley,,,,
PL,04/05/2019,Huddersfield Town,Manchester United,,,,
PL,04/05/2019,Manchester City,Leicester City,,,,
PL,04/05/2019,Newcastle United,Liverpool,,,,
PL,04/05/2019,West Ham United,Southampton,,,,
